"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)"
"CANCELLED","605642620102_1","2022-08-07","Madhya Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1311.0","1311.0"
"CANCELLED","570185609650_1","2022-08-07","Madhya Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1311.0","1311.0"
"DELIVERED","507304078237_1","2022-08-07","Madhya Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1311.0","1311.0"
"DELIVERED","1688345391_1","2022-08-07","Arunachal Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"CANCELLED","677211623652_1","2022-08-07","Himachal Pradesh","Stylish designer digital printed work lehenga choli with duppata ","932291795","Semi Stitched","1","1500.0","1500.0"
"DELIVERED","436163379734_1","2022-08-07","MAHARASHTRA","Heavy Pure Super Slub Cotton With Embroidery Work With Balloon Sleeve With Attached Belt  Dresses ","Ad020","XXL","1","1000.0","1000.0"
"CANCELLED","363376800481_1","2022-08-08","West Bengal","Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata","Ad 021","XXL","1","1300.0","1300.0"
"CANCELLED","429553639148_1","2022-08-08","Uttar Pradesh"," PARTY WEAR BEAUTIFUL LOOK FANCY EMBROIDERY AND 5mm SEQUENCE WORK GOWN WITH DUPATTA ","hk 1446","Free Size","1","1600.0","1600.0"
"CANCELLED","748959635571_1","2022-08-08","West Bengal"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"RTO_COMPLETE","545646779706_1","2022-08-08","Andhra Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","572323669372_1","2022-08-08","West Bengal"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","403153127441_1","2022-08-08","Uttar Pradesh","FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK)","1101 black","Semi Stitched","1","1749.0","1749.0"
"DELIVERED","264002870509_1","2022-08-09","Gujarat","Dupatta set with bottom and duppata ","190","L","1","618.0","618.0"
"DELIVERED","849870909835_1","2022-08-09","Uttarakhand"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"DELIVERED","284641390076_1","2022-08-09","Maharashtra"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","803134095214_1","2022-08-09","Tamil Nadu","Desigener Party Wear Look New Top With Lehengha With Heavy Embroidery Sequence Work","dv1IKTGh","Free Size","1","1499.0","1499.0"
"DELIVERED","546528163157_1","2022-08-09","Telangana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","772604862058_1","2022-08-10","Assam"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"RTO_LOCKED","940712900368_1","2022-08-10","Uttar Pradesh","Fancy embroidery sequence work gown with dupatta ","Dhk1094","XL","1","1461.0","1461.0"
"DELIVERED","239488734703_1","2022-08-10","Karnataka"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"DELIVERED","851847662041_1","2022-08-10","Maharashtra"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","675841565482_1","2022-08-10","Odisha","top & bottom set","akshar 1090","M","1","1368.0","1368.0"
"RTO_COMPLETE","312073496064_1","2022-08-11","Telangana","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1400.0"
"RTO_COMPLETE","574899849229_1","2022-08-11","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"RTO_COMPLETE","114775122169_1","2022-08-11","Andhra Pradesh","top & bottom set","akshar 1090","XL","1","1368.0","1368.0"
"CANCELLED","387624086840_1","2022-08-11","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","444981584080_1","2022-08-12","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","301578067962_1","2022-08-12","Kerala"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","747803875668_1","2022-08-12","West Bengal"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","231138984607_1","2022-08-13","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","534942511093_1","2022-08-13","Kerala","Fancy designer  wear kirti","234","M","1","300.0","300.0"
"DELIVERED","755146728346_1","2022-08-13","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk avdh","Free Size","1","1350.0","1350.0"
"DELIVERED","115964435613_1","2022-08-13","Jammu & Kashmir"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk avdh","Free Size","1","1311.0","1311.0"
"CANCELLED","323608154730_1","2022-08-13","Orissa","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 maroon","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","641300392975_1","2022-08-13","odisha"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"RTO_COMPLETE","803963214519_1","2022-08-13","Delhi","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1400.0"
"DELIVERED","248244279818_1","2022-08-13","Gujarat","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1400.0"
"CANCELLED","426590723490_1","2022-08-14","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","263871865116_1","2022-08-14","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","520331241821_1","2022-08-14","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","5","1350.0","1350.0"
"CANCELLED","884057591159_1","2022-08-14","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","593818076639_1","2022-08-14","Bihar","top & bottom set","akshar 1090","XXL","1","1368.0","1368.0"
"CANCELLED","400915987718_1","2022-08-14","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","5","1350.0","1350.0"
"DELIVERED","315389638702_1","2022-08-14","Tamil Nadu","Kurta Sets ","45678","XXL","1","500.0","500.0"
"RTO_COMPLETE","395369627755_1","2022-08-14","Andhra Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","473722759765_1","2022-08-14","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"CANCELLED","624275479819_1","2022-08-14","Nehru.   Colony.","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"DELIVERED","912010011757_1","2022-08-15","State Bank Of India"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"RTO_COMPLETE","486842794529_1","2022-08-15","Delhi","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 lavender","Semi Stitched","1","1999.0","1999.0"
"CANCELLED","998981302653_1","2022-08-15","Uttar Pradesh","Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ","Ad 009 a","XL","1","1500.0","1500.0"
"DELIVERED","704165208295_1","2022-08-15","Kerala"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"DELIVERED","974991026344_1","2022-08-15","Delhi","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1400.0","1400.0"
"DELIVERED","346130315989_1","2022-08-15","Andhra Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","756746970573_1","2022-08-15","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","313984293646_1","2022-08-15","West Bengal","Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ","Ad 009 a","XXL","1","1500.0","1500.0"
"DELIVERED","354258590368_1","2022-08-15","Assam"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","116898224563_1","2022-08-16","Rajasthan","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 blue","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","702473758487_1","2022-08-16","Rajasthan","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 white","Semi Stitched","1","1999.0","1999.0"
"CANCELLED","185684610641_1","2022-08-16","Odisha"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","823942308881_1","2022-08-16","Odisha"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","605356661364_1","2022-08-17","Telangana","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 maroon","Semi Stitched","1","1999.0","1999.0"
"CANCELLED","137241552481_1","2022-08-18","west Bangol","FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work","323","Free Size","1","1399.0","1399.0"
"CANCELLED","107182927963_1","2022-08-18","Odisha"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1311.0","1311.0"
"DELIVERED","133620476043_1","2022-08-18","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"DELIVERED","537121032423_1","2022-08-18","Assam","FLORAL PRINT IN FOX GEORGETTE REAL MIRROR WORK GOWNS WITH DUPATTA","kb 194","XXL","1","1561.0","1561.0"
"RTO_COMPLETE","668655545003_1","2022-08-18","Andhra Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk 1408a","Free Size","1","1350.0","1350.0"
"CANCELLED","733339429166_1","2022-08-19","Assam","FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK)","1101 black","Semi Stitched","1","1749.0","1749.0"
"DELIVERED","115964435613_1","2022-08-19","Jammu & Kashmir"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk avdh","Free Size","1","1311.0","1311.0"
"CANCELLED","381353679397_1","2022-08-19","Up ","FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata","5425 black","Semi Stitched","1","1599.0","1599.0"
"DELIVERED","684818289255_1","2022-08-19","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"CANCELLED","269627385202_1","2022-08-19","Up ","FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata","5425 pink","Semi Stitched","1","1599.0","1599.0"
"DELIVERED","882312666682_1","2022-08-20","Uttar Pradesh","FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work","323","Free Size","1","1399.0","1399.0"
"DELIVERED","704814497883_1","2022-08-20","Bihar","top & bottom set","akshar 1090","XL","1","1400.0","1400.0"
"CANCELLED","137922314316_1","2022-08-20","Uttar Pradesh"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","150003921805_1","2022-08-20","Up ","FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata","5425 pink","Semi Stitched","1","1599.0","1599.0"
"CANCELLED","918609782308_1","2022-08-20","Haryana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","145765249861_1","2022-08-21","Maharashtra","FIVESTAR Designer Women Suit On havy Organza silk febric with Thred with Sequnce work and pent on also organza silk febric with inner and Dupatta also on organza silk febric with Thred work and less work","1091","Free Size","1","1399.0","1399.0"
"CANCELLED","523165022965_1","2022-08-21","Tamil Nadu"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"DELIVERED","236795271202_1","2022-08-21","Others"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk1408b","Free Size","1","1350.0","1350.0"
"RTO_COMPLETE","704133639877_1","2022-08-21","Kerala","Beautiful maska cotton kurta set with muslin cotton duppata and pant","Kb 196 b","L","1","1400.0","1400.0"
"DELIVERED","643537959075_1","2022-08-21","Punjab"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk avdh","Free Size","1","1350.0","1350.0"
"CANCELLED","887032986289_1","2022-08-21","Punjab"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","Hk avdh","Free Size","1","1350.0","1350.0"
"CANCELLED","121951310020_1","2022-08-21","Jammu & Kashmir","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 white","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","402972493507_1","2022-08-21","Telangana"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","555207008312_1","2022-08-21","Gujarat","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"CANCELLED","270994880886_1","2022-08-22","Haryana","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 skyblue","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","437167650973_1","2022-08-22","Odisha","Dupatta Sets","Hk1436","XXL","1","1400.0","1400.0"
"DELIVERED","458878633167_1","2022-08-22","Punjab","FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata","6320","Semi Stitched","1","1949.0","1949.0"
"DELIVERED","261601009640_1","2022-08-22","Odisha","top & bottom set","akshar 1090","L","1","1400.0","1400.0"
"CANCELLED","453722335864_1","2022-08-22","Chhattisgarh","Beautiful maska cotton kurta set with muslin cotton duppata and pant","Kb 196 b","M","1","1400.0","1400.0"
"RTO_COMPLETE","296540364861_1","2022-08-22","seoni"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1311.0","1311.0"
"DELIVERED","189410351427_1","2022-08-22","Maharashtra","Kurta Sets ","45678","L","1","500.0","500.0"
"DELIVERED","384931415630_1","2022-08-22","West Bengal ","FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLUE)","1101 blue","Semi Stitched","1","1749.0","1749.0"
"DELIVERED","923462757835_1","2022-08-22","punjab","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 blue","Semi Stitched","1","1999.0","1999.0"
"DELIVERED","848334441754_1","2022-08-22","Punjab","FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work","5400 skyblue","Semi Stitched","1","1999.0","1999.0"
"RTO_COMPLETE","748208976472_1","2022-08-23","Jammu & Kashmir","Kalamkari print full flair narkali sut set","Kb 198","M","1","1400.0","1400.0"
"RTO_COMPLETE","933916764856_1","2022-08-23","Chandigarh","FIVESTAR wedding special occasions Lehengha choli with Dupata","6302 green","Semi Stitched","1","2299.0","2299.0"
"CANCELLED","623328510051_1","2022-08-23","Bihar"," PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ","hk 1408","Free Size","1","1350.0","1350.0"
"DELIVERED","426207937376_1","2022-08-23","Odisha","top & bottom set","akshar 1090","M","1","1400.0","1400.0"
"DELIVERED","295645979015_1","2022-08-24","Tamil Nadu","Kalamkari print full flair narkali sut set","Kb 198","M","1","1400.0","1400.0"
"DELIVERED","736602256273_1","2022-08-24","Gujarat","Stylish designer digital printed work lehenga choli with duppata ","921837737","Semi Stitched","1","1500.0","1500.0"
"DELIVERED","736602256273_2","2022-08-24","Gujarat","Stylish designer digital printed work lehenga choli with duppata ","932291795","Semi Stitched","1","1500.0","1500.0"
"DELIVERED","188317821806_1","2022-08-25","Telangana","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XXL","1","1368.0","1368.0"
"DELIVERED","640125783153_1","2022-08-25","Gujarat","Stylish designer digital printed work lehenga choli with duppata ","Dhk 1100","Semi Stitched","1","1500.0","1500.0"
"CANCELLED","383743812322_1","2022-08-25","Jharkhand","Fancy look beautiful embroidery work kurti bottom with duppata","Hk 1454","XL","1","1400.0","1400.0"
"DELIVERED","313945993871_1","2022-08-25","Rajasthan","FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener","Uk8ndIGZ","Free Size","1","414.0","414.0"
